timestamp,symbol,bot,account,timeframe,signal,signal_type,trigger,confidence,atr,executed,entry_price,sl_price,sl,tp_price,tp,volume_lots,ticket,exit_price,exit_reason,profit,pnl,outcome,duration_minutes,account_balance,account_equity,spread,spread_points,bar_open,bar_high,bar_low,bar_close,ema_fast,ema_slow,ema_separation,rsi,n_bar_high,n_bar_low,conditions_met,ema_50,nearest_sr_level,sr_distance_atr,pattern_type,pin_wick_size,pin_body_ratio,engulf_size_atr,inside_bar_vol_ratio,pattern_detected,sr_nearby,ema_20,momentum_fast_ema,momentum_slow_ema,breakout_high,breakout_low,pullback_distance_atr,volume_ratio,h1_trend,bb_upper,bb_lower,bb_mid,price_position_in_bb,adx,hold_reason
2026-03-22T03:59:10.846009+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.76693083203509,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69352.28,69308.64,69334.6,,,,54.915173828076064,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.15,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:59:21.323333+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.76693083203509,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69352.28,69308.64,69334.19,,,,54.89325282840389,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.15,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:59:31.877803+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.76693083203509,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69352.28,69308.64,69334.18,,,,54.8927179035712,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.15,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:59:42.392948+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.76693083203509,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69352.28,69308.64,69333.96,,,,54.880946346503805,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.15,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:59:52.883300+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.76693083203509,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69352.28,69308.64,69328.54,,,,54.58898519656136,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.15,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T04:00:03.361557+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,115.90572292614355,0,,,,,,,,,,,,,,,,22.0,22.0,69328.98,69329.42,69328.71,69328.88,,,,54.60405013053529,,,,,,,,,,,,,,69272.70898362267,,,,,,,SELL,,,,,24.03,pullback_h1_trend_filtered
2026-03-22T04:00:13.837970+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,116.81000864042952,0,,,,,,,,,,,,,,,,22.0,22.0,69328.98,69329.42,69316.05,69319.1,,,,53.92658030170647,,,,,,,,,,,,,,69272.70898362267,,,,,,,SELL,,,,,24.03,pullback_h1_trend_filtered
2026-03-22T04:00:24.378933+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,117.34786578328658,0,,,,,,,,,,,,,,,,22.0,22.0,69328.98,69329.42,69308.52,69308.98,,,,53.24303148710192,,,,,,,,,,,,,,69272.70898362267,,,,,,,SELL,,,,,24.03,pullback_h1_trend_filtered
2026-03-22T04:00:34.874455+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,117.34858006900153,0,,,,,,,,,,,,,,,,22.0,22.0,69328.98,69329.42,69308.51,69308.7,,,,53.22436534086044,,,,,,,,,,,,,,69272.70898362267,,,,,,,SELL,,,,,24.02,pullback_h1_trend_filtered
2026-03-22T04:00:34.876626+00:00,XAUUSD,viper,144388,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,11.147004802187999,0,,,,,,,,,,,,,,,,0.39,0.39,4503.38,4503.9,4494.66,4497.71,,,,38.06683169110966,,,,,,,,,,,,,,,,,,,,,SELL,,,,,35.04,breakout_not_broken;pullback_not_near_ema;momentum_volume_low
2026-03-22T04:00:45.413083+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,118.06500864043001,0,,,,,,,,,,,,,,,,22.0,22.0,69328.98,69329.42,69298.48,69298.78,,,,52.57139265941513,,,,,,,,,,,,,,69272.70898362267,,,,,,,SELL,,,,,23.9,pullback_h1_trend_filtered
2026-03-22T04:00:55.910086+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,118.4478657832872,0,,,,,,,,,,,,,,,,22.0,22.0,69328.98,69334.78,69298.48,69334.2,,,,54.91480321257985,,,,,,,,,,,,,,69272.70898362267,,,,,,,SELL,,,,,23.9,pullback_h1_trend_filtered
2026-03-22T04:01:06.385488+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,118.4478657832872,0,,,,,,,,,,,,,,,,22.0,22.0,69328.98,69334.78,69298.48,69333.1,,,,54.851407464458966,,,,,,,,,,,,,,69272.70898362267,,,,,,,SELL,,,,,23.9,pullback_h1_trend_filtered
