timestamp,symbol,bot,account,timeframe,signal,signal_type,trigger,confidence,atr,executed,entry_price,sl_price,sl,tp_price,tp,volume_lots,ticket,exit_price,exit_reason,profit,pnl,outcome,duration_minutes,account_balance,account_equity,spread,spread_points,bar_open,bar_high,bar_low,bar_close,ema_fast,ema_slow,ema_separation,rsi,n_bar_high,n_bar_low,conditions_met,ema_50,nearest_sr_level,sr_distance_atr,pattern_type,pin_wick_size,pin_body_ratio,engulf_size_atr,inside_bar_vol_ratio,pattern_detected,sr_nearby,ema_20,momentum_fast_ema,momentum_slow_ema,breakout_high,breakout_low,pullback_distance_atr,volume_ratio,h1_trend,bb_upper,bb_lower,bb_mid,price_position_in_bb,adx,hold_reason
2026-03-31T07:15:59.254141+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,6.525575563659468,0,,,,,,,,,,,,,,,,0.34,0.34,4552.51,4554.46,4551.52,4553.12,,,,41.24364945544834,,,,,,,,,,,,,,4559.606074903647,,,,,,,BUY,,,,,15.26,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:16:09.864991+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,97.9553957060692,0,,,,,,,,,,,,,,,,22.0,22.0,67283.49,67288.5,67227.2,67255.9,,,,30.794499789071352,,,,,,,,,,,,,,67454.91306034091,,,,,,,BOTH,,,,,25.39,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:16:10.468879+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,6.525575563659468,0,,,,,,,,,,,,,,,,0.34,0.34,4552.51,4554.46,4551.52,4552.37,,,,40.29711057865923,,,,,,,,,,,,,,4559.5346463322185,,,,,,,BUY,,,,,15.26,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:16:20.956839+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,97.9553957060692,0,,,,,,,,,,,,,,,,22.0,22.0,67283.49,67288.5,67227.2,67257.05,,,,30.849662127562937,,,,,,,,,,,,,,67455.02258415043,,,,,,,BOTH,,,,,25.39,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:16:21.736407+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,6.525575563659468,0,,,,,,,,,,,,,,,,0.34,0.34,4552.51,4554.46,4551.52,4552.33,,,,40.2615289910302,,,,,,,,,,,,,,4559.530836808409,,,,,,,BUY,,,,,15.26,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:16:32.255579+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,98.68396713464043,0,,,,,,,,,,,,,,,,22.0,22.0,67283.49,67288.5,67217.0,67219.16,,,,29.130397639696426,,,,,,,,,,,,,,67451.41401272186,,,,,,,BOTH,,,,,25.46,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:16:32.830591+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,6.548432706516655,0,,,,,,,,,,,,,,,,0.34,0.34,4552.51,4554.46,4551.2,4552.04,,,,40.00542970879228,,,,,,,,,,,,,,4559.50321776079,,,,,,,BUY,,,,,15.26,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:16:43.727045+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,99.93968142035483,0,,,,,,,,,,,,,,,,22.0,22.0,67283.49,67288.5,67199.42,67226.96,,,,29.468478032684885,,,,,,,,,,,,,,67452.15686986472,,,,,,,BOTH,,,,,25.56,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:16:44.580437+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,6.548432706516655,0,,,,,,,,,,,,,,,,0.34,0.34,4552.51,4554.46,4551.2,4551.89,,,,39.87423879292035,,,,,,,,,,,,,,4559.4889320465045,,,,,,,BUY,,,,,15.26,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:16:55.273547+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,99.93968142035483,0,,,,,,,,,,,,,,,,22.0,22.0,67283.49,67288.5,67199.42,67219.04,,,,29.12525698198374,,,,,,,,,,,,,,67451.40258415043,,,,,,,BOTH,,,,,25.56,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:16:55.951984+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,6.548432706516655,0,,,,,,,,,,,,,,,,0.34,0.34,4552.51,4554.46,4551.2,4551.74,,,,39.74390550064121,,,,,,,,,,,,,,4559.474646332219,,,,,,,BUY,,,,,15.26,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:17:06.716543+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,99.93968142035483,0,,,,,,,,,,,,,,,,22.0,22.0,67283.49,67288.5,67199.42,67234.32,,,,29.794762736521974,,,,,,,,,,,,,,67452.85782224567,,,,,,,BOTH,,,,,25.56,pullback_not_near_ema;momentum_volume_low
