time,open,high,low,close,tick_volume,spread,real_volume,source,timeframe,symbol
2022-03-02 09:00:00,1937.86,1947.87,1935.64,1944.77,8115,5,0,Hydra,H1,XAUUSD
2022-03-02 10:00:00,1944.79,1944.79,1933.89,1939.27,8168,5,0,Hydra,H1,XAUUSD
2022-03-02 11:00:00,1939.3,1940.18,1931.38,1932.93,6909,5,0,Hydra,H1,XAUUSD
2022-03-02 12:00:00,1932.93,1935.5,1913.42,1926.57,7357,5,0,Hydra,H1,XAUUSD
2022-03-02 13:00:00,1926.56,1931.24,1925.34,1929.26,4946,5,0,Hydra,H1,XAUUSD
2022-03-02 14:00:00,1929.26,1930.03,1923.28,1926.06,4839,5,0,Hydra,H1,XAUUSD
2022-03-02 15:00:00,1926.08,1934.58,1922.72,1931.87,9325,5,0,Hydra,H1,XAUUSD
2022-03-02 16:00:00,1931.88,1934.87,1922.18,1929.48,10192,5,0,Hydra,H1,XAUUSD
2022-03-02 17:00:00,1929.5,1935.58,1922.96,1926.96,10845,5,0,Hydra,H1,XAUUSD
2022-03-02 18:00:00,1926.91,1927.96,1916.32,1918.82,9941,5,0,Hydra,H1,XAUUSD
2022-03-02 19:00:00,1918.82,1921.89,1914.88,1918.58,5653,5,0,Hydra,H1,XAUUSD
2022-03-02 20:00:00,1918.58,1921.76,1917.3,1920.51,3993,5,0,Hydra,H1,XAUUSD
2022-03-02 21:00:00,1920.51,1928.58,1920.18,1927.81,3581,5,0,Hydra,H1,XAUUSD
2022-03-02 22:00:00,1927.83,1933.23,1924.74,1925.19,4416,5,0,Hydra,H1,XAUUSD
2022-03-02 23:00:00,1925.11,1927.93,1924.67,1927.61,1657,8,0,Hydra,H1,XAUUSD
2022-03-03 01:00:00,1929.27,1930.39,1928.22,1928.81,1473,5,0,Hydra,H1,XAUUSD
2022-03-03 02:00:00,1928.81,1930.61,1928.08,1929.17,2155,7,0,Hydra,H1,XAUUSD
2022-03-03 03:00:00,1929.0,1930.7,1926.17,1930.6,4867,5,0,Hydra,H1,XAUUSD
2022-03-03 04:00:00,1930.6,1930.81,1927.71,1928.71,3548,5,0,Hydra,H1,XAUUSD
2022-03-03 05:00:00,1928.71,1930.61,1926.79,1927.48,3143,5,0,Hydra,H1,XAUUSD
2022-03-03 06:00:00,1927.5,1927.51,1923.68,1924.59,2376,5,0,Hydra,H1,XAUUSD
2022-03-03 07:00:00,1924.46,1926.48,1922.08,1925.18,3464,5,0,Hydra,H1,XAUUSD
2022-03-03 08:00:00,1925.18,1929.64,1925.08,1927.66,4026,5,0,Hydra,H1,XAUUSD
2022-03-03 09:00:00,1927.66,1932.33,1925.15,1932.05,4956,5,0,Hydra,H1,XAUUSD
2022-03-03 10:00:00,1932.08,1935.1,1928.41,1931.98,6058,5,0,Hydra,H1,XAUUSD
2022-03-03 11:00:00,1931.91,1931.99,1923.7,1929.14,5775,5,0,Hydra,H1,XAUUSD
2022-03-03 12:00:00,1929.13,1935.51,1929.12,1933.86,4789,5,0,Hydra,H1,XAUUSD
2022-03-03 13:00:00,1933.86,1938.75,1932.32,1932.45,4925,5,0,Hydra,H1,XAUUSD
2022-03-03 14:00:00,1932.4,1936.04,1929.7,1930.6,5609,5,0,Hydra,H1,XAUUSD
2022-03-03 15:00:00,1930.6,1937.24,1924.24,1926.22,10152,5,0,Hydra,H1,XAUUSD
2022-03-03 16:00:00,1926.13,1932.13,1924.49,1926.72,11265,5,0,Hydra,H1,XAUUSD
2022-03-03 17:00:00,1926.72,1930.57,1925.54,1926.32,9515,5,0,Hydra,H1,XAUUSD
2022-03-03 18:00:00,1926.25,1930.87,1923.29,1930.52,8936,5,0,Hydra,H1,XAUUSD
2022-03-03 19:00:00,1930.45,1932.58,1927.48,1931.88,7025,5,0,Hydra,H1,XAUUSD
2022-03-03 20:00:00,1931.95,1935.19,1931.26,1933.98,5453,5,0,Hydra,H1,XAUUSD
2022-03-03 21:00:00,1934.06,1935.64,1932.35,1935.27,3972,5,0,Hydra,H1,XAUUSD
2022-03-03 22:00:00,1935.29,1941.18,1934.95,1936.94,4726,5,0,Hydra,H1,XAUUSD
2022-03-03 23:00:00,1936.94,1938.32,1935.59,1936.62,1599,5,0,Hydra,H1,XAUUSD
2022-03-04 01:00:00,1936.72,1936.82,1934.78,1934.84,941,6,0,Hydra,H1,XAUUSD
2022-03-04 02:00:00,1934.88,1950.93,1934.79,1947.28,8114,5,0,Hydra,H1,XAUUSD
2022-03-04 03:00:00,1947.29,1947.48,1929.56,1933.94,9232,5,0,Hydra,H1,XAUUSD
2022-03-04 04:00:00,1933.94,1940.17,1933.63,1939.35,4598,5,0,Hydra,H1,XAUUSD
2022-03-04 05:00:00,1939.35,1941.35,1937.98,1939.64,4159,5,0,Hydra,H1,XAUUSD
2022-03-04 06:00:00,1939.58,1940.67,1938.2,1939.19,1903,5,0,Hydra,H1,XAUUSD
2022-03-04 07:00:00,1939.19,1940.29,1934.55,1935.57,2616,5,0,Hydra,H1,XAUUSD
2022-03-04 08:00:00,1935.58,1937.89,1934.05,1935.96,2988,5,0,Hydra,H1,XAUUSD
2022-03-04 09:00:00,1935.87,1939.23,1935.29,1936.1,5013,5,0,Hydra,H1,XAUUSD
2022-03-04 10:00:00,1936.16,1940.24,1933.99,1938.74,6340,5,0,Hydra,H1,XAUUSD
2022-03-04 11:00:00,1938.74,1946.23,1938.25,1945.79,6712,5,0,Hydra,H1,XAUUSD
2022-03-04 12:00:00,1945.86,1947.92,1942.45,1947.19,5846,5,0,Hydra,H1,XAUUSD
2022-03-04 13:00:00,1947.23,1949.07,1944.24,1946.34,6238,5,0,Hydra,H1,XAUUSD
2022-03-04 14:00:00,1946.34,1949.99,1943.9,1945.73,6597,5,0,Hydra,H1,XAUUSD
2022-03-04 15:00:00,1945.62,1948.25,1939.88,1946.94,11299,5,0,Hydra,H1,XAUUSD
2022-03-04 16:00:00,1946.96,1959.26,1945.48,1951.87,13126,5,0,Hydra,H1,XAUUSD
2022-03-04 17:00:00,1952.07,1959.06,1942.61,1957.91,11178,5,0,Hydra,H1,XAUUSD
2022-03-04 18:00:00,1957.91,1965.71,1956.62,1962.7,9719,5,0,Hydra,H1,XAUUSD
2022-03-04 19:00:00,1962.65,1965.36,1960.03,1962.12,6657,5,0,Hydra,H1,XAUUSD
2022-03-04 20:00:00,1962.12,1966.47,1960.8,1965.12,5153,5,0,Hydra,H1,XAUUSD
2022-03-04 21:00:00,1965.24,1969.96,1964.54,1967.06,5393,5,0,Hydra,H1,XAUUSD
2022-03-04 22:00:00,1966.99,1970.19,1965.19,1967.33,6665,5,0,Hydra,H1,XAUUSD
2022-03-04 23:00:00,1967.3,1970.16,1965.52,1969.74,2496,5,0,Hydra,H1,XAUUSD
2022-03-07 01:00:00,1980.67,1991.38,1980.67,1988.73,6150,5,0,Hydra,H1,XAUUSD
2022-03-07 02:00:00,1988.73,1990.37,1987.0,1988.11,6341,5,0,Hydra,H1,XAUUSD
2022-03-07 03:00:00,1988.24,2000.93,1987.96,1997.76,12197,5,0,Hydra,H1,XAUUSD
2022-03-07 04:00:00,1997.79,1998.21,1986.86,1986.98,8931,5,0,Hydra,H1,XAUUSD
2022-03-07 05:00:00,1987.1,1990.61,1984.89,1990.1,7032,5,0,Hydra,H1,XAUUSD
2022-03-07 06:00:00,1990.12,1991.45,1987.43,1989.61,3404,5,0,Hydra,H1,XAUUSD
2022-03-07 07:00:00,1989.61,1989.93,1983.15,1983.61,5595,5,0,Hydra,H1,XAUUSD
2022-03-07 08:00:00,1983.58,1985.27,1976.06,1983.2,6751,5,0,Hydra,H1,XAUUSD
2022-03-07 09:00:00,1983.14,1993.27,1979.27,1992.96,8916,5,0,Hydra,H1,XAUUSD
2022-03-07 10:00:00,1992.98,1998.54,1989.24,1996.53,10294,5,0,Hydra,H1,XAUUSD
2022-03-07 11:00:00,1996.67,2001.41,1993.53,1997.99,8550,5,0,Hydra,H1,XAUUSD
2022-03-07 12:00:00,1997.99,2002.61,1995.67,2002.44,6538,5,0,Hydra,H1,XAUUSD
2022-03-07 13:00:00,2002.47,2002.47,1985.7,1990.23,8344,5,0,Hydra,H1,XAUUSD
2022-03-07 14:00:00,1990.24,1990.26,1981.76,1984.12,10942,5,0,Hydra,H1,XAUUSD
2022-03-07 15:00:00,1984.12,1987.87,1961.03,1979.16,15417,5,0,Hydra,H1,XAUUSD
2022-03-07 16:00:00,1979.11,1985.64,1967.78,1984.52,13318,5,0,Hydra,H1,XAUUSD
2022-03-07 17:00:00,1984.53,1991.52,1977.0,1980.92,12925,5,0,Hydra,H1,XAUUSD
2022-03-07 18:00:00,1980.92,1983.28,1974.89,1979.54,9506,5,0,Hydra,H1,XAUUSD
2022-03-07 19:00:00,1979.63,1986.17,1978.57,1984.25,8731,5,0,Hydra,H1,XAUUSD
2022-03-07 20:00:00,1984.27,1996.37,1983.67,1992.33,9544,5,0,Hydra,H1,XAUUSD
2022-03-07 21:00:00,1992.33,1997.33,1991.01,1995.97,6916,5,0,Hydra,H1,XAUUSD
2022-03-07 22:00:00,1995.97,1998.98,1992.16,1996.69,6997,5,0,Hydra,H1,XAUUSD
2022-03-07 23:00:00,1996.69,1999.82,1995.74,1997.24,3333,5,0,Hydra,H1,XAUUSD
2022-03-08 01:00:00,1997.23,1999.35,1996.64,1998.72,2299,5,0,Hydra,H1,XAUUSD
2022-03-08 02:00:00,1998.72,2000.05,1990.71,1991.8,3553,5,0,Hydra,H1,XAUUSD
2022-03-08 03:00:00,1991.84,1992.35,1981.08,1985.03,7394,5,0,Hydra,H1,XAUUSD
2022-03-08 04:00:00,1984.95,1990.04,1984.62,1989.1,4725,5,0,Hydra,H1,XAUUSD
2022-03-08 05:00:00,1989.09,1990.06,1984.71,1986.06,3397,5,0,Hydra,H1,XAUUSD
2022-03-08 06:00:00,1986.05,1991.44,1985.6,1991.2,2433,5,0,Hydra,H1,XAUUSD
2022-03-08 07:00:00,1991.2,1994.27,1989.16,1993.93,5099,5,0,Hydra,H1,XAUUSD
2022-03-08 08:00:00,1993.93,2020.78,1993.21,2016.94,9206,5,0,Hydra,H1,XAUUSD
2022-03-08 09:00:00,2016.93,2020.89,2012.77,2016.03,8941,5,0,Hydra,H1,XAUUSD
2022-03-08 10:00:00,2015.87,2020.21,1999.17,2008.72,11344,5,0,Hydra,H1,XAUUSD
2022-03-08 11:00:00,2008.72,2011.64,2006.04,2006.37,7604,5,0,Hydra,H1,XAUUSD
2022-03-08 12:00:00,2006.37,2009.49,2002.77,2005.84,5946,5,0,Hydra,H1,XAUUSD
2022-03-08 13:00:00,2005.84,2010.87,2004.44,2009.17,5044,5,0,Hydra,H1,XAUUSD
2022-03-08 14:00:00,2009.09,2015.62,2005.15,2007.34,7841,5,0,Hydra,H1,XAUUSD
2022-03-08 15:00:00,2007.34,2020.33,2003.67,2015.09,12412,5,0,Hydra,H1,XAUUSD
2022-03-08 16:00:00,2015.09,2041.29,2013.92,2039.61,13707,5,0,Hydra,H1,XAUUSD
2022-03-08 17:00:00,2039.65,2069.99,2039.53,2047.1,19469,5,0,Hydra,H1,XAUUSD
2022-03-08 18:00:00,2047.24,2070.3,2044.18,2069.36,12792,5,0,Hydra,H1,XAUUSD
2022-03-08 19:00:00,2069.37,2069.85,2021.07,2029.82,17815,5,0,Hydra,H1,XAUUSD
2022-03-08 20:00:00,2029.82,2053.17,2022.26,2044.27,14587,5,0,Hydra,H1,XAUUSD
2022-03-08 21:00:00,2044.3,2047.43,2028.67,2039.33,11020,5,0,Hydra,H1,XAUUSD
2022-03-08 22:00:00,2039.39,2052.98,2032.42,2050.89,9112,5,0,Hydra,H1,XAUUSD
2022-03-08 23:00:00,2051.49,2054.08,2049.58,2050.15,2591,5,0,Hydra,H1,XAUUSD
2022-03-09 01:00:00,2050.01,2050.84,2042.71,2043.72,2704,5,0,Hydra,H1,XAUUSD
2022-03-09 02:00:00,2043.82,2046.59,2035.06,2038.69,3764,5,0,Hydra,H1,XAUUSD
2022-03-09 03:00:00,2038.78,2045.64,2036.23,2041.88,7101,5,0,Hydra,H1,XAUUSD
2022-03-09 04:00:00,2041.93,2055.4,2040.45,2052.7,6957,5,0,Hydra,H1,XAUUSD
2022-03-09 05:00:00,2052.67,2057.57,2050.31,2056.86,5221,5,0,Hydra,H1,XAUUSD
2022-03-09 06:00:00,2056.88,2059.24,2051.32,2051.68,3464,5,0,Hydra,H1,XAUUSD
2022-03-09 07:00:00,2051.68,2057.21,2044.83,2048.0,5847,5,0,Hydra,H1,XAUUSD
2022-03-09 08:00:00,2047.97,2052.41,2047.58,2049.16,4549,5,0,Hydra,H1,XAUUSD
2022-03-09 09:00:00,2049.16,2050.18,2038.28,2045.9,6675,5,0,Hydra,H1,XAUUSD
2022-03-09 10:00:00,2045.8,2049.29,2042.14,2042.23,7067,5,0,Hydra,H1,XAUUSD
2022-03-09 11:00:00,2042.23,2042.43,2014.82,2017.88,9572,5,0,Hydra,H1,XAUUSD
2022-03-09 12:00:00,2017.88,2019.12,2004.22,2014.8,9050,5,0,Hydra,H1,XAUUSD
2022-03-09 13:00:00,2014.45,2016.45,2007.8,2011.47,6753,5,0,Hydra,H1,XAUUSD
2022-03-09 14:00:00,2011.39,2021.63,2009.34,2009.4,6722,5,0,Hydra,H1,XAUUSD
2022-03-09 15:00:00,2009.4,2009.57,1984.92,1989.61,12734,5,0,Hydra,H1,XAUUSD
2022-03-09 16:00:00,1989.71,1997.71,1976.04,1986.66,15678,5,0,Hydra,H1,XAUUSD
2022-03-09 17:00:00,1986.68,1997.65,1985.77,1996.12,10726,5,0,Hydra,H1,XAUUSD
2022-03-09 18:00:00,1996.12,2005.49,1991.92,2001.45,9397,5,0,Hydra,H1,XAUUSD
2022-03-09 19:00:00,2001.45,2003.29,1983.64,1985.48,9073,5,0,Hydra,H1,XAUUSD
2022-03-09 20:00:00,1985.45,1988.95,1980.65,1983.54,8205,5,0,Hydra,H1,XAUUSD
2022-03-09 21:00:00,1983.33,1990.52,1979.61,1989.49,4894,5,0,Hydra,H1,XAUUSD
2022-03-09 22:00:00,1989.46,1995.65,1986.94,1991.11,5255,5,0,Hydra,H1,XAUUSD
2022-03-09 23:00:00,1991.09,1998.96,1989.74,1992.39,1815,5,0,Hydra,H1,XAUUSD
2022-03-10 01:00:00,1991.87,1993.13,1989.32,1989.83,2114,5,0,Hydra,H1,XAUUSD
2022-03-10 02:00:00,1989.83,1990.05,1981.85,1983.61,3045,5,0,Hydra,H1,XAUUSD
2022-03-10 03:00:00,1983.45,1983.84,1970.26,1974.71,7090,5,0,Hydra,H1,XAUUSD
2022-03-10 04:00:00,1974.71,1976.62,1970.8,1974.78,4212,5,0,Hydra,H1,XAUUSD
2022-03-10 05:00:00,1974.77,1979.07,1972.93,1976.38,3336,5,0,Hydra,H1,XAUUSD
2022-03-10 06:00:00,1976.38,1979.57,1975.57,1977.8,2749,5,0,Hydra,H1,XAUUSD
2022-03-10 07:00:00,1977.8,1984.16,1977.31,1980.83,3461,5,0,Hydra,H1,XAUUSD
2022-03-10 08:00:00,1980.83,1989.13,1980.5,1983.15,4172,5,0,Hydra,H1,XAUUSD
2022-03-10 09:00:00,1983.2,1983.31,1974.32,1975.31,4791,5,0,Hydra,H1,XAUUSD
2022-03-10 10:00:00,1975.33,1988.19,1974.89,1983.91,6778,5,0,Hydra,H1,XAUUSD
2022-03-10 11:00:00,1983.91,1987.31,1976.77,1985.85,7440,5,0,Hydra,H1,XAUUSD
2022-03-10 12:00:00,1985.69,2000.18,1983.61,1999.58,7221,5,0,Hydra,H1,XAUUSD
2022-03-10 13:00:00,1999.6,2007.91,1998.96,2005.29,6491,5,0,Hydra,H1,XAUUSD
2022-03-10 14:00:00,2005.29,2009.1,1999.08,2003.01,6934,5,0,Hydra,H1,XAUUSD
2022-03-10 15:00:00,2003.01,2009.03,1991.69,1996.42,10974,5,0,Hydra,H1,XAUUSD
